training_start,model,seed,training_rows,alpha,MAE_pp,RMSE_pp,bottom_decile_precision,best_epoch,epochs,seconds
2013,Ridge,,214425,100.0,3.6410362808759604,6.512193824463368,0.2190322430053551,,,
2013,MLP,42.0,214425,,3.627317977895338,6.429240270152202,0.2176705377421101,10.0,20.0,9.971032125002239
2013,MLP,7.0,214425,,3.6007288123455843,6.460715188412676,0.17269584358855897,7.0,17.0,8.550018459005514
2013,MLP,99.0,214425,,3.66917681290813,6.430019115281953,0.17789896601046248,13.0,23.0,11.589348875015276
2020,Ridge,,53731,100.0,4.182883913075145,6.724293988934527,0.19105390942789624,,,
2020,MLP,42.0,53731,,4.321523803927327,6.835741808413298,0.17486702683791863,8.0,18.0,2.578259292000439
2020,MLP,7.0,53731,,4.11358073924134,6.724074099209128,0.1667386887614304,10.0,20.0,2.8825387500110082
2020,MLP,99.0,53731,,4.293887363201746,7.071519307022686,0.17044571387788054,13.0,23.0,3.139285499986727
2021,Ridge,,33671,100.0,3.6563624703394035,6.494286906275752,0.18510671787427477,,,
2021,MLP,42.0,33671,,3.776094554489552,6.494923590449305,0.1734070997606875,31.0,41.0,3.7413109579938464
2021,MLP,7.0,33671,,3.750924803835908,6.560179731780096,0.14910465697440578,30.0,40.0,3.636355792026734
2021,MLP,99.0,33671,,3.7991012817127308,6.5984164910404,0.20511509107589662,16.0,26.0,2.448985833005281
